"('34 ST-HERALD SQ', 75462.0)"
"('34 ST-PENN STA', 71010.0)"
"('TIMES SQ-42 ST', 62494.0)"
"('GRD CNTRL-42 ST', 44397.0)"
"('23 ST', 42063.5)"
"('47-50 STS ROCK', 41853.0)"
"('59 ST COLUMBUS', 38911.0)"
"('59 ST', 37528.0)"
"('86 ST', 34716.0)"
"('CHAMBERS ST', 34674.0)"
"('42 ST-BRYANT PK', 31122.0)"
"('FLUSHING-MAIN', 29207.5)"
"('50 ST', 28638.0)"
"('LEXINGTON AV/53', 25864.0)"
"('ATL AV-BARCLAY', 25023.0)"
"('42 ST-PORT AUTH', 24921.0)"
"('JKSN HT-ROOSVLT', 23115.0)"
"('14 ST', 22358.0)"
"('JAY ST-METROTEC', 20545.0)"
"('BOWLING GREEN', 20500.0)"
"('125 ST', 18639.0)"
"('BEDFORD AV', 18575.0)"
"('JAMAICA CENTER', 18368.0)"
"('WALL ST', 18202.0)"
"('BOROUGH HALL', 18079.0)"
"('145 ST', 16984.0)"
"('49 ST', 16611.5)"
"('GRAND ST', 15912.0)"
"('SPRING ST', 14329.0)"
"('51 ST', 14148.0)"
"('CHURCH AV', 13451.0)"
"('CANAL ST', 12710.0)"
"('1 AV', 12469.0)"
"('168 ST', 12250.0)"
"('CROWN HTS-UTICA', 11620.0)"
"('SUTPHIN-ARCHER', 11532.0)"
"('JUNCTION BLVD', 10926.0)"
"('PRINCE ST', 10779.0)"
"('KINGS HWY', 10528.0)"
"('BROOKLYN BRIDGE', 10115.0)"
"('82 ST-JACKSON H', 10079.0)"
"('DEKALB AV', 10058.0)"
"('2 AV', 9995.0)"
"('WORLD TRADE CTR', 9933.0)"
"('NOSTRAND AV', 9671.0)"
"('8 ST-NYU', 9560.0)"
"('28 ST', 9106.0)"
"('5 AVE', 9099.0)"
"('RECTOR ST', 8744.0)"
"('103 ST-CORONA', 8268.0)"
"('COURT SQ', 8203.0)"
"('ASTORIA DITMARS', 8175.0)"
"('MYRTLE-WYCKOFF', 8058.0)"
"('57 ST-7 AV', 7893.0)"
"('167 ST', 7851.0)"
"('FORDHAM RD', 7623.0)"
"('VERNON-JACKSON', 7575.5)"
"('161/YANKEE STAD', 7522.0)"
"('STEINWAY ST', 7230.5)"
"('LEXINGTON AV/63', 6997.5)"
"('BLEECKER ST', 6969.0)"
"('30 AV', 6705.0)"
"('3 AV-149 ST', 6435.5)"
"('JAMAICA 179 ST', 6404.0)"
"('46 ST BLISS ST', 6190.0)"
"('181 ST', 6043.0)"
"('EAST BROADWAY', 5941.0)"
"('NEVINS ST', 5889.0)"
"('34 ST-HUDSON YD', 5855.0)"
"('BRIGHTON BEACH', 5762.0)"
"('BROADWAY', 5688.5)"
